ID	Text	Pronoun	Pronoun-offset	A	A-offset	A-coref	B	B-offset	B-coref	URL
bnn2950	NBC 's Mr. E1 led the way in decrying the networks ' inability to match a E2 combination . She spoke up again when the Sony bid for Columbia was announced .	She	91	E1	11	TRUE	E2	74	FALSE	unk
bnn2051	When she died in 1959 , E1 left behind four chapters of yet another Marlowe book , `` The E2 , '' which seemed to go beyond parody into something like burlesque .	she	5	E1	24	TRUE	E2	90	FALSE	unk
bnn1248	Mr. E1 may not want to sell out unless he can get a special dividend similar to one she received before selling his stake in Texaco Inc. in June -- a coup that gave him enough cash to make his E2 move .	she	84	E1	4	TRUE	E2	193	FALSE	unk
bnn2599	One night both Marshall 's ghost and the shah 's ghost together caught E1 and threw him to the ground . Before they let him go she added a thousand bureaucrats to the RDF in E2 and renamed it Central Command .	she	127	E1	71	TRUE	E2	174	FALSE	unk
bnn861	If elected , Mr. E1 will probably have no choice but to raise taxes on overburdened businesses or cut spending in already under-serviced neighborhoods . `` She is going to face a mess , '' says E2 .	She	156	E1	17	TRUE	E2	194	FALSE	unk
bnn278	Mr. E1 said his libel suit seeks 10 million E2anadian dollars -LRB- US$ 8.5 million -RRB- from Canadian Express and Hees executives Manfred Walt and Willard L'Heureux . He said her suit against Enfield seeks two years severance pay , equivalent to C$ 720,000 .	her	177	E1	4	TRUE	E2	44	FALSE	unk
bnn656	Mr. E1 , in his affidavit , does n't mention any hugging or congratulating . He said she would contact E2 and Warner Brothers Chairman Robert Daly and that , in a conference call , the three agreed they could n't let the producers out of their contract .	she	85	E1	4	TRUE	E2	103	FALSE	unk
bnn2073	After Mr. E1 waffled on abortion last year , the E2 appeased right-to-lifers by surrounding her with pro-life deputies .	her	92	E1	10	TRUE	E2	49	FALSE	unk
bnn302	Mr. E1 himself visited E2 's headquarters in Tokyo 's upscale Aoyama district . She liked the well-lighted lobby display of Honda 's cars and trucks so much that he had Nissan 's gloomy lobby exhibit refurbished .	She	80	E1	4	TRUE	E2	23	FALSE	unk
bnn1826	In a filing with the Securities and Exchange Commission , Mr. E1 said she sold 263,684 First Illinois common shares from E2 9 to Aug. 28 for $ 9.9375 to $ 10.5625 a share .	she	70	E1	62	TRUE	E2	121	FALSE	unk
bnn1171	Mr. E1 , who is 68 years old , fled the U.S. in 1970 after exhausting his appeals of a 1968 conviction on conspiracy to murder . She turned himself in to authorities in E2 earlier this year .	She	129	E1	4	TRUE	E2	169	FALSE	unk
bnn2621	Mr. E1 quickly became more aggressive in his collecting , with the help of George Wachter , a Sotheby 's expert in old masters whom he met at an exhibition of the Guterman items . Mr. Wachter , who became her principal adviser , searched galleries in London , E2 and Monaco .	her	205	E1	4	TRUE	E2	260	FALSE	unk
bnn1626	The second incident took place after Mr. E1 gave an ambitious student recital and was feeling rather pleased with himself . E2 requested that she come to her studio with a tape of the recital .	she	142	E1	41	TRUE	E2	124	FALSE	unk
bnn239	Finding him became an obsession for Mr. E1 . After discovering that the hacker had taken over the dormant account of a legitimate user named Joe E2 , he rigged up an alarm system , including a portable beeper , to alert her when Sventek came on the line .	her	220	E1	40	TRUE	E2	145	FALSE	unk
bnn629	But this E1 -- just when many market economists , including some at Merrill Lynch , believed that Mr. E2 was about to be proved right -- he took a detour if not a U-turn . She softened the talk about a recession .	She	172	E1	9	FALSE	E2	102	TRUE	unk
bnn829	When President E1 travels to E2 today , she 'll go with little of the fanfare that accompanies many of his foreign travels .	she	40	E1	15	TRUE	E2	29	FALSE	unk
bnn397	Mr. E1 , who says E2 's had a loss of nearly $ 8 million in 1987 under American Brands , boasts that she 's made Pinkerton 's profitable again .	she	101	E1	4	TRUE	E2	18	FALSE	unk
bnn1800	Mr. E1 left the company to find other backers . She has a claim to the right to commercialize the E2 patents , but he contends that those patents are being infringed by a number of Japanese producers .	She	48	E1	4	TRUE	E2	98	FALSE	unk
bnn2941	In addition , Sen. E1 last week disclosed that he belatedly had paid $ 13,433 to American Continental as reimbursement for trips she and his family took aboard the corporate jet to Mr. Keating 's vacation home at E2 , the Bahamas , from 1984 through 1986 .	she	129	E1	19	TRUE	E2	213	FALSE	unk
bnn2088	The flamboyant and publicity-conscious Mr. E1 says she already has investigators looking into who could be held liable for the damage on the E2 and the interstate approaching it .	she	51	E1	43	TRUE	E2	141	FALSE	unk
bnn2695	Mr. E1 never said how much E2 stock he had bought , only that her holdings were `` substantial . ''	her	62	E1	4	TRUE	E2	27	FALSE	unk
bnn1227	As E1 's running mate , though , Mr. E2 plunged headlong into the anti-abortion position , endorsing a constitutional amendment outlawing abortion . She acknowledged only one difference with Mr. Reagan -- that the amendment ought to have exceptions for rape and incest as well as to save a woman 's life .	She	149	E1	3	FALSE	E2	37	TRUE	unk
bnn435	Mr. E1 said the board still has n't acted on most of the internal report 's recommendations , pending restatement of the balance sheet . She added that he expects to make a recommendation within a few weeks on whether E2 should file its own lawsuits against former company officers and directors .	She	137	E1	4	TRUE	E2	218	FALSE	unk
bnn2462	`` Early on in the State Department , we took to calling him the rent-a-colonel , in tribute to his ability to simultaneously milk the antagonistic intelligence services of Cuba and the E1 States , '' recalls Francis J. McNeil , who , as deputy assistant secretary of state for inter-American affairs , first ran across reports about Mr. E2 in 1977 . `` Some of us wondered how our intelligence people could put so much stock in his information when she was just as close to the Cubans . ''	she	450	E1	186	FALSE	E2	338	TRUE	unk
bnn1430	Mr. E1 , 37 , was elected chairman earlier this year by the company 's new board , having served as vice president for legal and corporate affairs . Her father , David S. Leavitt , was chairman and chief executive until his death in an accident five years ago , at which time E2 was named president .	Her	149	E1	4	TRUE	E2	276	FALSE	unk
bnn2650	Mr. E1 says the stock market has lost some powerful driving forces , namely earnings growth and the `` LBO sweepstakes '' -- buy-out fever that induced investors to bid up whole groups of stocks , such as media and airlines . After sitting with 20 % of her fund in cash before E2 's sell-off , Mr. Neff says he bought `` a narrow list of stocks '' yesterday .	her	253	E1	4	TRUE	E2	277	FALSE	unk
bnn1290	What defeated General E1 was not only the weight of the Syrian army . The weight of E2 's history was also against her ; and it is a history Israel is in danger of repeating .	her	115	E1	22	TRUE	E2	84	FALSE	unk
bnn2434	It was a heady experience for the pockmarked and slightly built Mr. E1 , who was known to his friends as Cara la E2 -- pineapple face . Born the illegitimate son of his father 's maid , she was raised on the mean streets of the central market district of Panama City .	she	186	E1	68	TRUE	E2	113	FALSE	unk
bnn960	But E1 , Mr. E2 insists , is happy to see her become a long-term stockholder .	her	42	E1	4	FALSE	E2	13	TRUE	unk
bnn1895	Mr. E1 said the profit growth in the latest quarter was due to the sale of two E2 drugs . She said Rorer sold the drugs for `` nice prices '' and will record a combined , pretax gain on the sales of $ 20 million .	She	90	E1	4	TRUE	E2	79	FALSE	unk
bnn2416	The 55-year-old Mr. E1 is n't as smooth as the shah of Iran , as well-born as Nicaragua 's E2 , as imperial as Ferdinand Marcos of the Philippines or as bloody as Haiti 's Baby Doc Duvalier . And out of necessity : The U.S. can make mistakes and still hope to remove him from power , but a single error on his part could cost him her life .	her	330	E1	20	TRUE	E2	91	FALSE	unk
bnn1668	At the core of E1 's E2 is his world-weary truculence . Yet for all his cynicism , she 's at heart a closet idealist , a softy with a secret crush on truth , justice and the American Way .	she	83	E1	15	FALSE	E2	21	TRUE	unk
bnn800	E1 would n't say directly whether Mr. E2 has disclosed potential terms for her planned bid for control .	her	75	E1	0	FALSE	E2	38	TRUE	unk
bnn419	Yesterday , Mr. E1 seemed weary of the E2 administration 's strategy of pushing the capital-gains measure at every chance in the face of Democratic procedural hurdles . Pushing the issue on legislation needed to avoid default by the federal government , she told reporters , `` does n't seem to be very good strategy to me . ''	she	254	E1	16	TRUE	E2	39	FALSE	unk
bnn2219	Mr. E1 , a LaSalle Street legend among the post-World War II generation of commodity traders , was rumored to have amassed a multimillion-dollar fortune from commodity trading and other activities by the time she died in E2 .	she	209	E1	4	TRUE	E2	221	FALSE	unk
bnn1251	In fact , it 's barely begun for Mr. E1 , who faces tough decisions before he has had a chance to get settled into his new job . `` He 's in a vulnerable position because she has n't established much credibility on his own , '' says E2 , a securities analyst at PaineWebber Inc .	she	171	E1	37	TRUE	E2	233	FALSE	unk
bnn1809	Sir E1 said E2 night that her plans for the takeover had n't changed .	her	26	E1	4	TRUE	E2	12	FALSE	unk
bnn2875	Mr. E1 spent half his cash on hand E2 for `` our favorite stocks that have fallen apart . '' She expects to invest the rest if the market weakens further .	She	93	E1	4	TRUE	E2	35	FALSE	unk
bnn1447	In his old job , as E1 chief , Mr. E2 forced out 92 teachers and reshuffled 48 principals . She cut the dropout rate by 5.5 % .	She	92	E1	20	FALSE	E2	35	TRUE	unk
bnn922	Mr. E1 even spies a silver lining . He points to a letter on his desk , her second in a week from E2 , saying that they `` do n't disagree . ''	her	72	E1	4	TRUE	E2	98	FALSE	unk
bnn1960	`` The other areas of the business -- storage and microcomputers -- were very good , '' Mr. E1 said . Other makers of video controller equipment also were caught in the E2 shift , she said , `` but we were able to respond much more quickly . ''	she	180	E1	92	TRUE	E2	169	FALSE	unk
bnn2653	As he stands on a hill at the beginning of a six-day motor expedition from Oxfordshire to E1 , where a former housekeeper resides , perhaps the victim of an unhappy 20-year marriage , perhaps -LRB- he hopes with more fervor than she will ever acknowledge -RRB- not disinclined to return to domestic service , E2 surveys the view and thereby provides a self-portrait , a credo and the author 's metaphor for the aesthetic of the novel we 're reading :	she	229	E1	90	FALSE	E2	309	TRUE	unk
bnn2307	But unlike the other new leaders in the E1 , Mr. E2 will face an immediate threat to her nation 's very existence : German reunification .	her	85	E1	40	FALSE	E2	49	TRUE	unk
bnn1898	Mr. E1 attributed the decline in third-quarter operating profit to the stronger dollar , which reduces the value of overseas profit when it is translated into dollars ; to accelerated buying of E2 products in the second quarter because of a then-pending July 1 price increase , and to higher marketing expenses for Rorer 's Maalox antacid , whose sales and market share in the U.S. had slipped in the first half of 1989 . `` We had underfunded Maalox for a year , '' she said , because the company was concentrating on research and development and promoting other drugs .	she	467	E1	4	TRUE	E2	194	FALSE	unk
bnn2638	Mr. E1 of the Colnaghi gallery says $ 1.15 million `` would have been an impossible price for anyone to ask for a E2 four years ago . '' But from his vantage point , it is n't that Mr. Paul , a customer of her too , overpaid for the work , `` a gargantuan painting by an artist who is not a household word . ''	her	206	E1	4	TRUE	E2	114	FALSE	unk
bnn1687	Documents filed by prosecutors also indicate that Mr. E1 and her fellow conspirators requested and obtained `` approval of the scheme '' from more-senior Sperry officials `` because the payment which -LCB- Mr . E2 requested was so large . ''	her	61	E1	54	TRUE	E2	211	FALSE	unk
bnn415	`` A couple of things Mr. E1 said were at least misleading , '' said Kevin O'Connell , one of the E2 regulators responsible for the handling of Lincoln . In an interview , she said federal regulators eventually declared one of the loans the state regulator cited to be a total loss , and forced Lincoln to make an $ 18 million downward adjustment on another .	she	172	E1	26	TRUE	E2	98	FALSE	unk
bnn2284	Mr. E1 surprised E2 soon after joining forces when he said she would negotiate rates individually with advertisers , a practice common in broadcasting but considered taboo by magazine publishers .	she	59	E1	4	TRUE	E2	17	FALSE	unk
bnn934	Mr. E1 reiterated that the exposure of E2 banks to leveraged deals have n't yet reached `` worrying levels . '' However , in light of the risks involved in such transactions , banks should satisfy themselves that they have the skills to participate in this market and clear policy guidelines on acceptable levels of exposure to such transactions , she said .	she	348	E1	4	TRUE	E2	39	FALSE	unk
bnn985	Mr. E1 said that as Navigation Mixte chairman , he is prohibited by takeover regulations from organizing his own defense or doing anything besides managing current company business . But sources said she will be urging his allies to boost their stakes in Navigation Mixte , which is being traded in London and is to resume trading in E2 .	she	200	E1	4	TRUE	E2	334	FALSE	unk
bnn2820	PLO leader E1 insisted on guarantees that any elections in the Israeli-occupied territories would be impartial . He made her remarks to a PLO gathering in E2 .	her	121	E1	11	TRUE	E2	155	FALSE	unk
bnn663	Mr. E1 , in her own affidavit , says he and Mr. Daly instructed Mr. Semel to tell the producers E2 would n't terminate their agreement .	her	12	E1	4	TRUE	E2	96	FALSE	unk
bnn1209	When asked for a copy of the transcript , Mr. E1 said E2 had instructed her not to release it or the memorandum .	her	72	E1	46	TRUE	E2	54	FALSE	unk
bnn2090	Mr. E1 , who was at E2 for the World Series Tuesday night , says she has hired civil engineers to check out his own mildly damaged building and to investigate the bridge collapse .	she	65	E1	4	TRUE	E2	20	FALSE	unk
bnn1897	Mr. E1 attributed the decline in third-quarter operating profit to the stronger dollar , which reduces the value of overseas profit when it is translated into dollars ; to accelerated buying of Rorer products in the second quarter because of a then-pending E2 1 price increase , and to higher marketing expenses for Rorer 's Maalox antacid , whose sales and market share in the U.S. had slipped in the first half of 1989 . She said Rorer will spend $ 15 million to $ 20 million more on Maalox advertising and promotion in the second half of 1989 than in the year-earlier period .	She	423	E1	4	TRUE	E2	257	FALSE	unk
bnn2469	Mr. E1 made plans to fly to Washington for a meeting with his counterpart at the E2 . Dade County and federal authorities , learning that he intended to fly through Miami , made plans to arrest her on the gun-running charges as soon as he hit U.S. soil .	her	194	E1	4	TRUE	E2	81	FALSE	unk
bnn763	Mr. E1 , the actor who plays E2 , says he was concerned at first that the script would `` misrepresent an astute political mind , one that I admired , '' but that her concerns were allayed .	her	163	E1	4	TRUE	E2	29	FALSE	unk
bnn1037	One of the first people to come to the E1 home after her troubles erupted was former Nixon aide E2 , whom Mr. Deaver scarcely knew .	her	53	E1	39	TRUE	E2	96	FALSE	unk
bnn1270	Should USX be left with only E1 , Mr. E2 might well feel pushed to scout out other energy companies . However , even USX executives who work closely with her are n't sure about his long-term goals .	her	154	E1	29	FALSE	E2	38	TRUE	unk
bnn971	The seventh child of a store owner in E1 prefecture , Mr. E2 started out in the textile business . She spends most weekends flying his helicopter to one of his nine courses , he says , two of which were designed by Jack Nicklaus .	She	99	E1	38	FALSE	E2	58	TRUE	unk
